,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
BlackOut MIDNIGHT,https://eyewa.com/ae-en/blackout-midnight-000215-0707.html,69406,no,199,Glossy,Gradient,Gray,BlackOut,Gray,Metal,Cat Eye,Wide (>139 mm),Full Rim,61 mm,13 mm,Women,Sunglasses,No,,,,,,,,,,,,
BlackOut SERENE,https://eyewa.com/ae-en/blackout-serene-000107-0107.html,59934,no,199,Glossy,Gradient,Gray,BlackOut,Black,Plastic,Round,Wide (>139 mm),Full Rim,60 mm,17 mm,Women,Sunglasses,Yes,140 mm,,,,,,,,,,,
BlackOut MOONLIGHT,https://eyewa.com/ae-en/blackout-moonlight-000214-2706.html,69404,no,199,Glossy,Gradient,Green,BlackOut,Gold,Metal,Square,Wide (>139 mm),Full Rim,60 mm,12 mm,Women,Sunglasses,No,,,,,,,,,,,,
BlackOut COACHELLA,https://eyewa.com/ae-en/blackout-coachella-000206-2707.html,62404,yes,199,Glossy,Gradient,Gray,BlackOut,Gold,Metal,Round,Wide (>139 mm),Rimless,57 mm,21 mm,Women,Sunglasses,No,145 mm,174,,,,,,,,,,
30Sundays SMOOTH SAILING,https://eyewa.com/ae-en/30sundays-smooth-sailing-000210-0707.html,59125,yes,369,Glossy,Gradient,Gray,30Sundays,Silver,Metal,Square,Wide (>139 mm),Full Rim,60 mm,14 mm,Men,Sunglasses,Yes,145.6 mm,332,,,,,,,,,,
ROAV Jett,https://eyewa.com/ae-en/roav-jett-8202-11-14.html,57834,yes,639,Matte,Full,Gray,ROAV,Silver,Metal,Rectangle,Wide (>139 mm),,54 mm,18 mm,"Men, Women",Sunglasses,No,142 mm,383,,,,,,,,,,
MARC JACOBS - MARC 551/G/S,https://eyewa.com/ae-en/marc-jacobs-20387508654ha-tortoise.html,69973,no,559,,,Brown,Marc Jacobs,Tortoise,Acetate,Round,Wide (>139 mm),Full Rim,59 mm,18 mm,Women,Sunglasses,No,,,,,,,,,,,,
30Sundays EN VOGUE,https://eyewa.com/ae-en/30sundays-en-vogue-000108-0907.html,56217,yes,299,Glossy,Gradient,Purple,30Sundays,Pink,Acetate,Cat Eye,Wide (>139 mm),Full Rim,52 mm,17 mm,Women,Sunglasses,Yes,140 mm,269,,,,,,,,,,
30Sundays ALL ABOARD,https://eyewa.com/ae-en/30sundays-all-aboard-000212-2706.html,59173,yes,369,Matte,Full,Green,30Sundays,Gold,Metal,Square,Wide (>139 mm),Full Rim,58 mm,14 mm,Men,Sunglasses,Yes,141.6 mm,332,,,,,,,,,,
30Sundays MAVERICK,https://eyewa.com/ae-en/30sundays-maverick-000203-1206.html,59153,yes,369,Glossy,Full,Green,30Sundays,Silver,Metal + Acetate,Aviator,Wide (>139 mm),Full Rim,58 mm,15 mm,"Men, Women",Sunglasses,Yes,143 mm,332,,,,,,,,,,
